1. Cosmética Íntima (Bienestar Sensorial),,,
,"Esta categoría es tu punto fuerte para diferenciarte. No la llames solo ""cremas"".",,
,Nuestra principal Marca:  Orgie,,
,Para Ella:,,
,,Hidratantes vulvares,
,,Elixires de placer,
,,Cuidado del suelo pélvico,
,,,
,,,
,,,
,Para Él:,,
,,Geles de higiene,
,,Retardantes,
,,Vigorizantes,
,,,
,,,
,,,
,Para Parejas / Todes:,,
,,"Lubricantes (base agua, silicona, sabores)",
,,Geles con efectos,
,,Espumas crocanti para masaje ,
,,,
,,,
,,,
,Masaje y Aromas: ,,
,,"Aceites esenciales,",
,,Perfumes con feromonas,
,,Velas de masaje,
,,,
,,,
,,,
,,,
2. Juguetes Eróticos (Tecnología y Placer),,,
,,,
,Nuestras principales Marcas:,,
,,Svakom: (Lujo y tecnología unisex).,
,,Tenga: (Bienestar masculino y masturbadores).,
,,SPleasure: (Bienestar femenino),
,,,
,,,
,,,
,,,
,,,
,Por Tipo de Placer:,,
,,Vibradores y Succionadores.,
,,Estimuladores de Pareja.,
,,Anal y Próstata (Salud e iniciación).,
,,Kits de Iniciación.,
,,,
,,,
,,,
,,,
3. Lencería y Moda Íntima,,,
,"Separamos los dos estilos que mencionaste para que el cliente filtre por ""mood"".",,
,Nuestras principales Marcas:,,
,,Mapelé: ,"Sexy & Chic  (lo ""picante"" elegante)."
,,,Conjuntos
,,,
,,,
,,,
,,,
,,Fetish Submissive,"Dark & Fetish (lo ""atrevido"" y potente)."
,,,Cuero
,,,Vinilo
,,,Arneses
,,,Lencería sado
,,,
,,,
,Accesorios de Moda: ,,
,,,
,,Medias,
,,pezoneras,
,,antifaces,
,,,
,,,
,,,
,,,
,,,
,,,
4. Fetiche y BDSM (El Hardware),,,
,Es fundamental separar los accesorios físicos de la ropa.,,
,Ataduras y Sujeción:,,
,,Esposas,
,,Cuerdas,
,,Arneses de cama,
,,Columpios,
,,,
,,,
,,,
,Sensaciones:,,
,,"Látigos,",
,,palas,
,,plumas,
,,fustas,
,,,
,,,
,,,
,Mordazas y Máscaras.,,
,,,
,,,
,,,
,,,
5. Juegos y Experiencias,,,
,"Categoría ideal para regalo y para quienes buscan algo menos ""físico"" y más ""lúdico"".",,
,Juegos de Mesa: ,,
,,Cartas de retos,
,,Dados eróticos,
,,Juegos de rol,
,,,
,,,
,Juegos realísticos: ,,
,,Muñecas tamaño real,
,,Muñecos tamaño real,
,,,
,,,
,Packs Lovlory: ,,
,,"Cajas cerradas temáticas (ej: ""Noche Romántica"", ""Iniciación Sado"").",
,,Cestas personalizables,
,,,
,,,
,,,
6. Experiencia Tupersex (Sección Pro),,,
"Esta no es una categoría de producto, sino una página de servicio.",,,
Qué es un Tupersex Lovlory: Explicación del servicio.,,,
Reserva tu Reunión: Formulario directo.,,,
Zonas y Tarifas: Información logística.,,,
